"siteName","stateCode","siteVisitName","taxonFamily","latitude_Degree","longitude_Degree","siteVisitStartDate","abundance","precipitationAnnualMean_millimetre","solarRadiationMean_megajoulePerSquareMetre","maximumTemperature_degreeCelsius","minimumTemperature_degreeCelsius","temperatureAnnualMean_degreeCelsius","climaticCondition","average_soil_pH_unitless","average_soil_EC_dSPerMetre","soil_texture_Grade"
"NSABBS0001","NSW",20180511,"Apocynaceae",-31.28119,148.9766,2018-05-11 15:21:54,1,693.54,19.3271,37.3901,-1.817,16.6134,"DRY",6.33,0.0352,"Clayey sand"
"NSABBS0001","NSW",20180511,"Asteraceae",-31.28119,148.9766,2018-05-11 15:21:54,10,693.54,19.3271,37.3901,-1.817,16.6134,"DRY",6.33,0.0352,"Clayey sand"
"NSABBS0001","NSW",20180511,"Boraginaceae",-31.28119,148.9766,2018-05-11 15:21:54,40,693.54,19.3271,37.3901,-1.817,16.6134,"DRY",6.33,0.0352,"Clayey sand"
"NSABBS0001","NSW",20180511,"Chenopodiaceae",-31.28119,148.9766,2018-05-11 15:21:54,1,693.54,19.3271,37.3901,-1.817,16.6134,"DRY",6.33,0.0352,"Clayey sand"
"NSABBS0001","NSW",20180511,"Cupressaceae",-31.28119,148.9766,2018-05-11 15:21:54,27,693.54,19.3271,37.3901,-1.817,16.6134,"DRY",6.33,0.0352,"Clayey sand"
"NSABBS0001","NSW",20180511,"Fabaceae",-31.28119,148.9766,2018-05-11 15:21:54,10,693.54,19.3271,37.3901,-1.817,16.6134,"DRY",6.33,0.0352,"Clayey sand"
"NSABBS0001","NSW",20180511,"Malvaceae",-31.28119,148.9766,2018-05-11 15:21:54,19,693.54,19.3271,37.3901,-1.817,16.6134,"DRY",6.33,0.0352,"Clayey sand"
"NSABBS0001","NSW",20180511,"Myrtaceae",-31.28119,148.9766,2018-05-11 15:21:54,416,693.54,19.3271,37.3901,-1.817,16.6134,"DRY",6.33,0.0352,"Clayey sand"
"NSABBS0001","NSW",20180511,"Poaceae",-31.28119,148.9766,2018-05-11 15:21:54,9,693.54,19.3271,37.3901,-1.817,16.6134,"DRY",6.33,0.0352,"Clayey sand"
"NSABBS0001","NSW",20180511,"Pteridaceae",-31.28119,148.9766,2018-05-11 15:21:54,8,693.54,19.3271,37.3901,-1.817,16.6134,"DRY",6.33,0.0352,"Clayey sand"
"NSABBS0001","NSW",20180511,"Sapindaceae",-31.28119,148.9766,2018-05-11 15:21:54,1,693.54,19.3271,37.3901,-1.817,16.6134,"DRY",6.33,0.0352,"Clayey sand"
"NSABBS0002","NSW",20180512,"Apocynaceae",-31.27945,148.9925,2018-05-12 13:41:09,1,699.795,19.3406,37.5658,-1.77308,16.78,"WET",5.928,0.0352,"Clayey sand"
"NSABBS0002","NSW",20180512,"Boraginaceae",-31.27945,148.9925,2018-05-12 13:41:09,60,699.795,19.3406,37.5658,-1.77308,16.78,"WET",5.928,0.0352,"Clayey sand"
"NSABBS0002","NSW",20180512,"Chenopodiaceae",-31.27945,148.9925,2018-05-12 13:41:09,3,699.795,19.3406,37.5658,-1.77308,16.78,"WET",5.928,0.0352,"Clayey sand"
"NSABBS0002","NSW",20180512,"Cupressaceae",-31.27945,148.9925,2018-05-12 13:41:09,106,699.795,19.3406,37.5658,-1.77308,16.78,"WET",5.928,0.0352,"Clayey sand"
"NSABBS0002","NSW",20180512,"Fabaceae",-31.27945,148.9925,2018-05-12 13:41:09,159,699.795,19.3406,37.5658,-1.77308,16.78,"WET",5.928,0.0352,"Clayey sand"
"NSABBS0002","NSW",20180512,"Lamiaceae",-31.27945,148.9925,2018-05-12 13:41:09,6,699.795,19.3406,37.5658,-1.77308,16.78,"WET",5.928,0.0352,"Clayey sand"
"NSABBS0002","NSW",20180512,"Malvaceae",-31.27945,148.9925,2018-05-12 13:41:09,13,699.795,19.3406,37.5658,-1.77308,16.78,"WET",5.928,0.0352,"Clayey sand"
"NSABBS0002","NSW",20180512,"Myrtaceae",-31.27945,148.9925,2018-05-12 13:41:09,185,699.795,19.3406,37.5658,-1.77308,16.78,"WET",5.928,0.0352,"Clayey sand"
"NSABBS0002","NSW",20180512,"Oxalidaceae",-31.27945,148.9925,2018-05-12 13:41:09,1,699.795,19.3406,37.5658,-1.77308,16.78,"WET",5.928,0.0352,"Clayey sand"
"NSABBS0002","NSW",20180512,"Pittosporaceae",-31.27945,148.9925,2018-05-12 13:41:09,4,699.795,19.3406,37.5658,-1.77308,16.78,"WET",5.928,0.0352,"Clayey sand"
"NSABBS0002","NSW",20180512,"Poaceae",-31.27945,148.9925,2018-05-12 13:41:09,17,699.795,19.3406,37.5658,-1.77308,16.78,"WET",5.928,0.0352,"Clayey sand"
"NSABBS0002","NSW",20180512,"Pteridaceae",-31.27945,148.9925,2018-05-12 13:41:09,20,699.795,19.3406,37.5658,-1.77308,16.78,"WET",5.928,0.0352,"Clayey sand"
"NSABBS0002","NSW",20180512,"Rutaceae",-31.27945,148.9925,2018-05-12 13:41:09,4,699.795,19.3406,37.5658,-1.77308,16.78,"WET",5.928,0.0352,"Clayey sand"
"NSABBS0002","NSW",20180512,"Zamiaceae",-31.27945,148.9925,2018-05-12 13:41:09,64,699.795,19.3406,37.5658,-1.77308,16.78,"WET",5.928,0.0352,"Clayey sand"
"NSABBS0003","NSW",20180513,"Casuarinaceae",-30.45465,149.2268,2018-05-13 15:25:40,249,568.074,19.8216,39.4243,-0.036467,19.226,"DRY",5.76,0.0716,"Clayey sand& Loamy sand"
