"siteName","stateCode","siteVisitName","latitude_Degree","longitude_Degree","siteVisitStartDate","unique_species_count","precipitationAnnualMean_millimetre","solarRadiationMean_megajoulePerSquareMetre","maximumTemperature_degreeCelsius","minimumTemperature_degreeCelsius","temperatureAnnualMean_degreeCelsius","climaticCondition","average_soil_pH_unitless","average_soil_EC_dSPerMetre","soil_texture_Grade"
"NSABBS0001","NSW",20180511,-31.28119,148.9766,2018-05-11 15:21:54,26,693.54,19.3271,37.3901,-1.817,16.6134,"DRY",6.33,0.0352,"Clayey sand"
"NSABBS0002","NSW",20180512,-31.27945,148.9925,2018-05-12 13:41:09,27,699.795,19.3406,37.5658,-1.77308,16.78,"WET",5.928,0.0352,"Clayey sand"
"NSABBS0003","NSW",20180513,-30.45465,149.2268,2018-05-13 15:25:40,17,568.074,19.8216,39.4243,-0.036467,19.226,"DRY",5.76,0.0716,"Clayey sand& Loamy sand"
"NSABBS0004","NSW",20180514,-30.46096,149.2469,2018-05-14 11:40:15,14,570.194,19.8125,39.4037,-0.0480058,19.2077,"DRY",6.54166666666667,0.171833333333333,"Clayey sand"
"NSABBS0005","NSW",20180515,-30.49878,149.28,2018-05-15 09:52:21,13,574.432,19.7924,39.3493,-0.0928283,19.1466,"DRY",6.74666666666667,0.1305,"Loamy sand"
"NSABBS0006","NSW",20180515,-30.51027,149.2673,2018-05-15 15:49:17,17,575.211,19.785,39.3064,-0.141986,19.0872,"DRY",6.256,0.075,"Loamy sand"
"NSABHC0001","NSW",20120529,-31.89335,141.4338,2012-05-29,28,245.906,20.1688,38.4455,1.47027,18.0535,NA,NA,NA,NA
"NSABHC0002","NSW",20120531,-31.92703,141.433,2012-05-31,28,250.182,20.1487,38.3832,1.47552,18.0134,NA,NA,NA,NA
"NSABHC0003","NSW",20120604,-31.82872,141.434,2012-06-04,25,234.137,20.2304,38.7322,1.52699,18.2765,NA,NA,NA,NA
"NSABHC0004","NSW",20120606,-31.84728,141.9481,2012-06-06,48,209.803,20.3576,39.7843,1.75084,19.0379,NA,NA,NA,NA
"NSABHC0005","NSW",20120730,-31.84496,141.9405,2012-07-30,26,209.803,20.3576,39.7843,1.75084,19.0379,NA,NA,NA,NA
"NSABHC0006","NSW",20120801,-31.88421,141.7823,2012-08-01,31,211.36,20.2781,39.3434,1.66945,18.7315,NA,NA,NA,NA
"NSABHC0007","NSW",20120802,-31.90113,141.7644,2012-08-02,41,212.194,20.2674,39.3363,1.69024,18.7409,NA,NA,NA,NA
"NSABHC0008","NSW",20120831,-31.88592,141.5288,2012-08-31,37,228.518,20.217,38.9233,1.64077,18.4713,NA,NA,NA,NA
"NSABHC0009","NSW",20120903,-31.08023,141.6974,2012-09-03,41,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NSW",20160913,-31.08023,141.6974,2016-09-13 11:11:06,56,207.651,20.7765,40.6051,1.72848,19.5869,"WET",NA,NA,NA
"NSABHC0010","NSW",20120904,-31.07672,141.7003,2012-09-04,22,207.794,20.7783,40.5534,1.70047,19.5335,NA,NA,NA,NA
"NSABHC0011","NSW",20120918,-31.02532,141.6781,2012-09-18,31,213.547,20.788,40.3697,1.61853,19.357,NA,NA,NA,NA
"NSABHC0012","NSW",20120919,-31.07957,141.7411,2012-09-19,44,204.072,20.7946,40.7113,1.78068,19.6707,NA,NA,NA,NA
"NSABHC0012","NSW",20160915,-31.07957,141.7411,2016-09-15 09:49:34,48,204.072,20.7946,40.7113,1.78068,19.6707,"WET",NA,NA,NA
